Region;Delegation-ins;ref_tn_cod;Population [nb];Older people [%];Children [%];Teenagers [%]; Unemployed [%];Intrant migrant between 2009 et 2014 [%]; Population with no access to car [%];Poverty rate [%]
Tunis;Carthage;1151;24216;15.74;12.99;12.39;10.91;9.44;55.01;1.6
Tunis;La  Medina;1152;21400;15.15;10.37;13.24;14.03;8.52;81.23;6.6
Tunis;Bab Bhar;1153;36210;13.82;9.44;9.57;9.69;16.26;71.6;1.6
Tunis;Bab Souika;1154;29185;15.72;11.04;11.89;14.94;8.87;79.65;4.5
Tunis;Elomrane;1155;42208;12.91;14.2;13.19;16.37;11.53;70.31;6.3
Tunis;Elomrane Sup?rieur;1156;55513;13.94;13.44;12.38;16.17;8.88;63.65;3.5
Tunis;Ettahrir;1157;21709;13.52;14.24;12.67;14.74;11.72;55.89;2
Tunis;El Menzah;1158;41830;18.79;11.62;12.21;6.24;13;20.89;0.2
Tunis;Cit? Elkhadra;1159;35173;13.35;12.36;11.02;7.69;13.85;45.97;1.4
Tunis;Le Bardo;1160;71961;14.33;13.43;12.32;12.73;10.57;53.43;1.8
Tunis;Sijoumi;1161;33870;13.41;13.98;13.15;21.98;4.34;87.02;11.5
Tunis;Ezzouhour;1162;40728;13.26;14.8;12.83;13.73;5.47;69.02;4
Tunis;Elhrairia;1163;110184;10.81;16.58;13.22;17.02;10.45;72.06;6.1
Tunis;Sidi Hassine;1164;109672;7.75;17.97;15.39;16.47;10.8;78.66;9.4
Tunis;El Ourdia;1165;32147;13.86;13.83;13.36;16.07;5.3;68.01;3.9
Tunis;El Kabaria;1166;86024;11.25;15.55;13.53;18.41;9.4;71.04;5.3
Tunis;Sidi El Bechir;1167;27749;15.44;11.37;12.42;15.29;12.22;73.46;4.2
Tunis;Djbel Djloud;1168;23638;12.61;14.78;13.1;22.34;5.52;85.44;9.5
Tunis;La Goulette;1169;45711;10.2;16.04;11.69;8.68;25.33;37.38;1.1
Tunis;lE Kram;1170;74132;10.75;15.62;12.57;11.58;14.83;56.66;3
Tunis;La Marsa;1171;92987;12.87;14.35;13.1;8.97;9.29;52.99;2.2
Ariana;Ariana Ville;1251;114486;14.44;13.45;12.37;7.45;13.66;28.8;1.3
Ariana;Soukra;1252;129693;8.42;17.79;13.16;10.35;16.03;56.67;4.8
Ariana;Raoued;1253;106414;8.42;18.53;13.88;10.27;18.91;52.62;6.9
Ariana;kala?t El Andalous;1254;26796;9.65;19.26;17.06;8.25;4.12;72.12;12.5
Ariana;Sidi Thabet;1255;24503;10.15;18.47;14.14;12.68;8.15;72.38;9.1
Ariana;Cit? Ettathamen;1256;84312;10.72;16.36;12.58;17.32;5.96;79.66;12.4
Ariana;EL Mnihla;1257;89884;7.3;18.22;14.8;13.84;16.02;69.85;8.8
Ben Arous;Ben Arous;1351;31128;14.09;15.12;12.62;13.53;7.68;63.26;5
Ben Arous;La Nouvelle Medina;1352;57194;10.08;17.06;12.55;13.25;13.92;57.88;5.2
Ben Arous;El Mourouj;1353;104538;7.53;16.11;14.7;12.38;15.09;50.6;3.2
Ben Arous;Hammam Lif;1354;42518;14.6;13.71;13.39;14.14;7.85;67.69;6.4
Ben Arous;Hammam Ch?tt;1355;31858;11.68;15.78;11.15;14.23;14;63.67;5
Ben Arous;Bou Mhel El Bassatine;1356;40101;8.85;17.87;14.21;11.15;14.6;52.09;4.1
Ben Arous;Ezzahra;1357;34962;14.39;14.64;13.05;10.67;11.32;48.61;2.6
Ben Arous;Rad?s;1358;59998;11.64;16.09;12.83;11.88;11.82;56.61;4.3
Ben Arous;Megrine;1359;26720;14.97;14.68;13.21;12.04;7.59;53.49;3.6
Ben Arous;Mohamedia;1360;66439;7.35;19;15.2;15.32;10.8;77.43;7.1
Ben Arous;Fouchana;1361;74868;7.85;17.41;14.63;14.59;13.07;74.95;7.3
Ben Arous;Mornag;1362;61518;10.01;17.68;14.76;13.17;5.27;72.07;11.2
Manubah;Manouba;1451;58792;12.45;14.65;12.19;15.13;12.96;52.46;3.8
Manubah;Douar Hicher;1452;84090;9.61;16.34;14.01;19.15;6.89;82.9;10.8
Manubah;Oued Elil;1453;69317;9.83;16.95;13.67;16.52;8.37;73.92;8.2
Manubah;Mornaguia;1454;42687;10.81;16.29;14.26;12.97;9.06;68.17;7.8
Manubah;Borj Amri;1455;17408;11.34;16.04;14.27;22.32;5.23;75.33;12.1
Manubah;Jedeida;1456;44748;10.55;17.32;14.08;17.3;5.61;77.65;11.9
Manubah;Tebourba;1457;43499;12.82;15.45;13.68;20.13;3.82;81.53;15.2
Manubah;El Battane;1458;18977;12.26;16.87;13.73;17.8;3.56;79.04;14.5
